dataset_fraction,dataset_rows,aggregate,method,mean_estimated_result,std_estimated_result,mean_time_seconds,std_time_seconds,mean_relative_error,std_relative_error,estimate_ci_lower,estimate_ci_upper,trials
0.5,5000,SUM,Stratified Sampling,2174922.283421726,83355.0854335083,0.0027614699999958248,0.00020125803261558415,0.04102095055301531,0.023610891660711224,2123258.2662142753,2226586.3006291767,10
0.5,5000,SUM,Uniform Sampling,2154514.77,74278.84812585977,0.00028849000000263914,1.3111441178788001e-05,0.03251105553165044,0.02788212980732454,2108476.2629579166,2200553.2770420834,10
0.75,7500,AVG,Adaptive Sampling,413.27976266666667,15.224349883346086,0.00044405000007827764,0.0001355007933143924,0.02530607387206841,0.030837542231113915,403.84361284743494,422.7159124858984,10
0.75,7500,AVG,Exact Query,420.83665986666665,2.2990203920619865,3.601999997044913e-05,2.5371900257678173e-06,0.0,0.0,419.4117122647532,422.2616074685801,10
0.75,7500,AVG,Stratified Sampling,418.8431633541877,15.703853846774496,0.0031859499999882246,0.00032907264729636426,0.030846070684852407,0.016495419432716693,409.10981389933966,428.57651280903576,10
0.75,7500,AVG,Uniform Sampling,418.16964799999994,10.04786158792807,0.0003480200000012701,2.7816374110411994e-05,0.01901110539738226,0.017799445504028694,411.941918866534,424.39737713346585,10
0.75,7500,COUNT,Adaptive Sampling,7500.0,0.0,0.0003300399999261572,1.2549652510859777e-05,0.0,0.0,7500.0,7500.0,10
0.75,7500,COUNT,Exact Query,7500.0,0.0,3.4610000147949906e-05,2.400208280144891e-06,0.0,0.0,7500.0,7500.0,10
0.75,7500,COUNT,Stratified Sampling,7500.0,0.0,0.0030701800000315417,0.00014099415912693377,0.0,0.0,7500.0,7500.0,10
0.75,7500,COUNT,Uniform Sampling,7500.0,0.0,0.0003421099999286525,7.4670313681430945e-06,0.0,0.0,7500.0,7500.0,10
0.75,7500,SUM,Adaptive Sampling,3099598.22,114182.62412509571,0.0005368100000850973,0.000435787235159997,0.02530607387206842,0.030837542231113936,3028827.0963557623,3170369.343644238,10
0.75,7500,SUM,Exact Query,3156274.949,17242.65294046483,3.2620000047245413e-05,4.560652819736371e-06,0.0,0.0,3145587.841985649,3166962.056014351,10
0.75,7500,SUM,Stratified Sampling,3141323.725156407,117778.90385080873,0.003211819999978616,0.00038775107356822647,0.030846070684852355,0.016495419432716717,3068323.6042450466,3214323.846067767,10
0.75,7500,SUM,Uniform Sampling,3136272.3600000003,75358.96190946057,0.00032150000001820447,6.986017838213717e-06,0.01901110539738226,0.017799445504028726,3089564.391499006,3182980.3285009945,10
1.0,10000,AVG,Adaptive Sampling,424.449618,15.998695200967557,0.0004970299999513372,0.00010443005156163214,0.03213325077550045,0.01947980438826679,414.5335239805309,434.3657120194691,10
1.0,10000,AVG,Exact Query,420.84438,0.0,4.5280000040293086e-05,1.0531307797114122e-05,0.0,0.0,420.84438,420.84438,10
1.0,10000,AVG,Stratified Sampling,416.71359995978185,11.747319300243618,0.00342915000001085,0.0001355349176335396,0.02198164395425343,0.018690674450608992,409.4325360233369,423.99466389622677,10
