trial_id,random_state,dataset_fraction,dataset_rows,aggregate,method,exact_result,estimated_result,relative_error,time_seconds,sample_fraction,sample_size,confidence_interval_lower,confidence_interval_upper,relative_error_estimate
7,149,0.1,1000,SUM,Stratified Sampling,422916.44000000006,382376.8005128205,0.09585732701045997,0.0021115999998073676,0.1,98,,,
7,149,0.1,1000,SUM,Adaptive Sampling,422916.44000000006,445554.6,0.05352868287645643,0.0016887000001588603,0.3,300,403572.367715107,487536.83228489297,0.09422466356512309
7,149,0.1,1000,AVG,Exact Query,422.9164400000001,422.9164400000001,0.0,2.5499999992462108e-05,1.0,1000,422.9164400000001,422.9164400000001,0.0
7,149,0.1,1000,AVG,Uniform Sampling,422.9164400000001,476.02719999999994,0.12558215991792573,0.00021259999994072132,0.1,100,,,
7,149,0.1,1000,AVG,Stratified Sampling,422.9164400000001,382.37680051282047,0.09585732701046004,0.0021898999998484214,0.1,98,,,
7,149,0.1,1000,AVG,Adaptive Sampling,422.9164400000001,445.5546,0.05352868287645642,0.0016610000002401648,0.3,300,403.572367715107,487.53683228489297,0.09422466356512307
8,150,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,2.6599999728205148e-05,1.0,1000,1000.0,1000.0,0.0
8,150,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.0002389999999650172,0.1,100,,,
8,150,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.0024488999997629435,0.1,99,,,
8,150,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.00024329999996552942,0.05,50,1000.0,1000.0,0.0
8,150,0.1,1000,SUM,Exact Query,410731.69000000006,410731.69000000006,0.0,2.949999998236308e-05,1.0,1000,410731.69000000006,410731.69000000006,0.0
8,150,0.1,1000,SUM,Uniform Sampling,410731.69000000006,405503.69999999995,0.012728479752804334,0.00021670000023732428,0.1,100,,,
8,150,0.1,1000,SUM,Stratified Sampling,410731.69000000006,443572.26728367625,0.07995627823038487,0.0023129000001063105,0.1,99,,,
8,150,0.1,1000,SUM,Adaptive Sampling,410731.69000000006,389874.8857142857,0.050779632527780706,0.002017700000124023,0.35,350,351021.6238048686,428728.1476237028,0.09965571862428241
8,150,0.1,1000,AVG,Exact Query,410.73169000000007,410.73169000000007,0.0,2.699999959077104e-05,1.0,1000,410.73169000000007,410.73169000000007,0.0
8,150,0.1,1000,AVG,Uniform Sampling,410.73169000000007,405.5037,0.012728479752804294,0.0002116000000569329,0.1,100,,,
8,150,0.1,1000,AVG,Stratified Sampling,410.73169000000007,443.57226728367624,0.07995627823038481,0.002121100000294973,0.1,99,,,
8,150,0.1,1000,AVG,Adaptive Sampling,410.73169000000007,389.8748857142857,0.05077963252778075,0.0019151999999849068,0.35,350,351.02162380486857,428.72814762370285,0.0996557186242824
9,151,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,3.0899999728717376e-05,1.0,1000,1000.0,1000.0,0.0
9,151,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.00023780000037731952,0.1,100,,,
9,151,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.002111699999659322,0.1,99,,,
9,151,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.00022399999988920172,0.05,50,1000.0,1000.0,0.0
9,151,0.1,1000,SUM,Exact Query,430814.87,430814.87,0.0,2.880000010918593e-05,1.0,1000,430814.87,430814.87,0.0
9,151,0.1,1000,SUM,Uniform Sampling,430814.87,396549.3999999999,0.07953641433035978,0.00021419999984573224,0.1,100,,,
9,151,0.1,1000,SUM,Stratified Sampling,430814.87,410378.08937905845,0.04743750052300085,0.002124300000104995,0.1,99,,,
9,151,0.1,1000,SUM,Adaptive Sampling,430814.87,400736.60000000003,0.06981715835388867,0.0019855000000461587,0.3,300,361895.0993848019,439578.10061519814,0.09692526366495625
9,151,0.1,1000,AVG,Exact Query,430.81487,430.81487,0.0,2.750000021478627e-05,1.0,1000,430.81487,430.81487,0.0
9,151,0.1,1000,AVG,Uniform Sampling,430.81487,396.54939999999993,0.0795364143303597,0.000224199999593111,0.1,100,,,
9,151,0.1,1000,AVG,Stratified Sampling,430.81487,410.37808937905845,0.04743750052300083,0.002134200000000419,0.1,99,,,
9,151,0.1,1000,AVG,Adaptive Sampling,430.81487,400.7366,0.0698171583538887,0.0016273999999611988,0.3,300,361.8950993848019,439.57810061519814,0.09692526366495627
10,152,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,3.3600000278966036e-05,1.0,1000,1000.0,1000.0,0.0
10,152,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.00023139999984778115,0.1,100,,,
10,152,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.0020662000001721026,0.1,98,,,
10,152,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.0002227999998467567,0.05,50,1000.0,1000.0,0.0
